06/15-08:19:59.251808  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.57.10:1045 -> 37.157.255.194:80
11/30-17:05:29.375797  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.116.10:1034 -> 239.255.255.250:1900
05/05-14:00:22.006656  [**] [1:2014664:5] ET CURRENT_EVENTS Blackhole - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.234.145:80 -> 192.168.62.10:1043
05/05-14:00:22.343516  [**] [1:2015665:1] ET CURRENT_EVENTS NeoSploit - TDS [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 192.168.62.10:1052 -> 37.59.198.59:80
05/05-14:00:33.166451  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.213:80 -> 192.168.62.10:1065
12/25-18:45:45.986333  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.46.10:1036 -> 239.255.255.250:1900
12/02-15:18:58.332520  [**] [1:2014033:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested edu.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.81.10:1040 -> 109.236.82.79:80
12/02-15:18:59.370161  [**] [1:2013037:4] ET POLICY Java EXE Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 109.236.82.79:80 -> 192.168.81.10:1043
07/06-12:17:27.227108  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 74.125.224.224:80 -> 192.168.16.10:1036
07/10-17:27:00.693885  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 54.243.46.157:80 -> 192.168.58.10:1070
12/10-18:41:52.175343  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 54.244.24.201:80 -> 192.168.76.10:1176
04/03-20:53:30.876769  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 95.163.67.189:80 -> 192.168.98.10:1045
12/05-02:12:30.877954  [**] [1:2016210:1] ET CURRENT_EVENTS Redkit Exploit Kit Three Numerical Character Naming Convention PDF Request [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.43.10:1038 -> 95.173.168.16:80
10/29-16:38:33.839391  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.232.251.62:80 -> 192.168.43.10:1065
09/16-18:43:48.531557  [**] [1:449:6] ICMP Time-To-Live Exceeded in Transit [**] [Classification: Misc activity] [Priority: 3] {ICMP} 89.40.76.224 -> 192.168.102.10
03/16-02:05:16.276821  [**] [1:2012810:8] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.57.10:1038 -> 69.197.177.13:80
05/31-17:05:15.522211  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.43.10:1135
06/01-17:25:53.487139  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1326
06/01-17:25:53.547242  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1340
06/01-17:25:54.754846  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1557
